source_page,source_table,Item Name,Count,Amount,month,priceper,Item name,braised beef used (g),Braised Chicken(g),Braised Pork(g),Egg(count),Rice(g),Ramen (count),Rice Noodles(g),chicken thigh (pcs),Chicken Wings (pcs),flour (g),Pickle Cabbage,Green Onion,Cilantro,White onion,Peas(g),Carrot(g),Boychoy(g),Tapioca Starch
1,1,Chicken Fried Rice,148,1849.24,September,12.49,Chicken Fried Rice,,100.0,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
1,1,Beef Rice Noodle Soup,115,1807.11,September,15.71,Beef Rice Noodle Soup,140.0,,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Pork Tossed Ramen,137,1810.77,September,13.22,Pork Tossed Ramen,,,140.0,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
2,1,Chicken Tossed Rice Noodles,104,1523.75,September,14.65,Chicken Tossed Rice Noodles,,140.0,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
2,1,Pork Rice Noodle Soup,95,1299.33,September,13.68,Pork Rice Noodle Soup,,,140.0,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
2,1,Chicken Tossed Ramen,98,1399.24,September,14.28,Chicken Tossed Ramen,,140.0,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
2,1,Beef Fried Rice,63,831.05,September,13.19,Beef Fried Rice,100.0,,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
2,1,Pork Fried Rice,40,534.8,September,13.37,Pork Fried Rice,,,100.0,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
1,1,Beef Ramen,357,5600.47,October,15.69,Beef Ramen,140.0,,,0.5,,1.0,,,,,,20.0,20.0,,,,,
1,1,Pork Ramen,227,3194.81,October,14.07,Pork Ramen,,,140.0,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Chicken Ramen,204,2934.9,October,14.39,Chicken Ramen,,140.0,,0.5,,1.0,,,,,,20.0,20.0,,,,50.0,
1,1,Beef Tossed Ramen,170,2547.87,October,14.99,Beef Tossed Ramen,140.0,,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,50.0,
1,1,Chicken Fried Rice,190,2379.19,October,12.52,Chicken Fried Rice,,100.0,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
1,1,Chicken Rice Noodle Soup,133,1979.08,October,14.88,Chicken Rice Noodle Soup,,140.0,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
1,1,Pork Tossed Ramen,144,1917.99,October,13.32,Pork Tossed Ramen,,,140.0,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
1,1,Beef Rice Noodle Soup,118,1837.62,October,15.57,Beef Rice Noodle Soup,140.0,,,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
2,1,Chicken Tossed Ramen,93,1317.34,October,14.16,Chicken Tossed Ramen,,140.0,,0.5,,1.0,,,,,50.0,20.0,20.0,,,,,
2,1,Beef Fried Rice,82,1175.2,October,14.33,Beef Fried Rice,100.0,,,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
2,1,Chicken Tossed Rice Noodles,73,1041.0,October,14.26,Chicken Tossed Rice Noodles,,140.0,,0.5,,,300.0,,,,50.0,20.0,20.0,,,,,
2,1,Pork Rice Noodle Soup,68,933.28,October,13.72,Pork Rice Noodle Soup,,,140.0,0.5,,,300.0,,,,,20.0,20.0,,,,50.0,
2,1,Pork Fried Rice,40,588.41,October,14.71,Pork Fried Rice,,,100.0,1.0,350.0,,,,,,,20.0,,20.0,10.0,10.0,,
