source_page,source_table,Item Name,Count,Amount,month,priceper
3,1,Tangy Honey Mustard Fried Chicken (8),19,186.57,May,9.82
3,1,Vegetable Fried Rice,14,177.0,May,12.64
3,1,Milk Tea(20oz),31,153.81,May,4.96
3,1,Vegetable Tossed Ramen,11,153.95,May,14.0
3,1,Wasabi Spiced Fried Chicken(8),12,138.88,May,11.57
3,1,Tangy Honey Mustard Fried Chicken(8),11,129.49,May,11.77
3,1,Chili Pepper Fried Chicken?8?,13,129.11,May,9.93
3,1,Starry - Sprite,45,132.29,May,2.94
3,1,Braised Chicken Thigh,36,106.77,May,2.97
3,1,Vegetable Tossed Rice Noodle,9,114.96,May,12.77
4,1,Brown Sugar Rice Cake,22,117.14,May,5.32
4,1,Lemonade,35,100.73,May,2.88
4,1,Jumbo Chicken Tender (3),19,90.93,May,4.79
4,1,House Tossed Rice Noodle,4,63.16,May,15.79
4,1,Chili Pepper Fried Chicken (8),6,62.94,May,10.49
4,1,Brown Sugar Milk Tea NO BOBA (24oz),17,66.2,May,3.89
4,1,White Rice - DINE IN,52,52.44,May,1.01
4,1,Bottled Soda,21,42.19,May,2.01
4,1,Hot Tea,13,38.39,May,2.95
4,1,Crispy French Fries(LG),8,33.92,May,4.24
4,1,BF chicken cutlet,10,65.93,May,6.59
4,1,Plain Fried Rice,15,45.49,May,3.03
4,1,Orange Crush,10,29.74,May,2.97
4,1,Rice Noodle,17,25.8,May,1.52
4,1,White Rice-To Go,6,21.0,May,3.5
4,1,Sweet Sesame Ball,5,25.02,May,5.0
4,1,White Rice,5,20.16,May,4.03
4,1,House Tossed Ramen,2,31.44,May,15.72
4,1,Ramune - Original,4,13.76,May,3.44
4,1,Chunked Beef,4,15.96,May,3.99
4,1,Braised Chicken,5,16.9,May,3.38
4,1,soup to go,7,10.47,May,1.5
5,1,Ramen,6,9.0,May,1.5
5,1,Mais Special Sauce,11,10.72,May,0.97
5,1,??? Orange Soda,2,7.18,May,3.59
5,1,Pepsi Zero,2,7.18,May,3.59
5,1,Sweet Tea,2,7.18,May,3.59
5,1,Braised Pork,3,9.22,May,3.07
5,1,Shrimp,2,5.98,May,2.99
5,1,Bottled Water,3,5.97,May,1.99
5,1,Open Food,2,4.52,May,2.26
5,1,Braised Egg,2,4.3,May,2.15
5,1,Mais special Sauce,4,4.26,May,1.06
5,1,Ramune - Orange,1,3.59,May,3.59
5,1,Starry,1,3.59,May,3.59
5,1,Ramune - Melon,1,2.99,May,2.99
5,1,Ramune - Strawberry,2,6.28,May,3.14
5,1,Water,2122,0.0,May,0.0
5,1,Sweet Sesame Ball (6) w. red bean,1,4.5,May,4.5
5,1,Golden kiwi,5,18.38,May,3.68
1,1,Beef Tossed Ramen,286,4248.69,June,14.86
1,1,Lunch Special,222,3089.08,June,13.91
1,1,Beef Ramen,195,2907.79,June,14.91
1,1,Chicken Rice Noodle Soup,153,2196.39,June,14.36
1,1,Beef Tossed Rice Noodle,113,1771.24,June,15.67
1,1,BF chicken cutlet combo,142,1722.24,June,12.13
1,1,Pork Tossed Ramen,134,1769.95,June,13.21
1,1,Chicken Ramen,117,1724.75,June,14.74
1,1,Beef Rice Noodle Soup,81,1241.45,June,15.33
1,1,Mai Special Fried Chicken(8),127,1283.91,June,10.11
1,1,Chicken Tossed Rice Noodles,78,1176.77,June,15.09
1,1,Sichuan Chili Wontons,103,1187.4,June,11.53
1,1,Chicken Tossed Ramen,81,1138.02,June,14.05
1,1,House Ramen,65,1077.79,June,16.58
1,1,Pork Ramen,77,1034.83,June,13.44
1,1,Golden Coconut Crunch Chicken(8),71,715.74,June,10.08
2,1,Mai's Golden Flake Fried Chicken(8),66,660.27,June,10.0
2,1,Chicken Fried Rice,47,588.99,June,12.53
2,1,Fried Pork Dumplings(10),63,576.99,June,9.16
2,1,House Fried Rice,37,560.07,June,15.14
2,1,Mai OG Fried Chicken Wings(4),112,566.58,June,5.06
2,1,Cream Cheese Rangoon(6),95,555.17,June,5.84
2,1,Pork Tossed Rice Noodle,43,575.37,June,13.38
2,1,Crispy Pork Egg Roll(3),121,482.76,June,3.99
2,1,Crispy Spring Roll(3),119,475.5,June,4.0
2,1,Steam Pork Dumplings(10),54,475.34,June,8.8
2,1,Brown Sugar Milk Tea w. Boba (24oz),103,441.87,June,4.29
2,1,Pork Rice Noodle Soup,29,389.42,June,13.43
2,1,Tempura Shrimp(3),83,407.11,June,4.9
2,1,Vegetable Ramen,25,362.99,June,14.52
2,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",24,302.59,June,12.61
2,1,Onion Glory Fried Chicken(8),31,307.44,June,9.92
2,1,House Rice Noodle Soup,20,339.85,June,16.99
2,1,Dr. Pepper,90,268.22,June,2.98
2,1,Spicy Cucumber Salad,47,252.68,June,5.38
2,1,Golden kiwi,62,226.72,June,3.66
2,1,Shrimp Fried Rice,18,249.85,June,13.88
2,1,Citrus Honey Fried Chicken  (8),24,241.8,June,10.08
3,1,Unsweet Ice Tea,79,232.93,June,2.95
3,1,Beef Fried Rice,18,243.61,June,13.53
3,1,Strawberry Sunrise Tea,62,235.51,June,3.8
3,1,Pepsi,75,216.23,June,2.88
3,1,BF chicken cutlet,33,222.28,June,6.74
3,1,Sweet Ice Tea,76,220.93,June,2.91
3,1,Mai Buffalo Chicken Wings(8),21,207.85,June,9.9
3,1,Vegetable Rice Noodle Soup,15,198.84,June,13.26
3,1,Specialty Drink,72,212.94,June,2.96
3,1,Vegetable Fried Rice,14,171.38,June,12.24
3,1,Pork Fried Rice,12,153.56,June,12.8
3,1,Pork Bun (3),28,159.05,June,5.68
3,1,Diet Pepsi,55,161.9,June,2.94
3,1,Brown Sugar Rice Cake (5),22,119.12,June,5.41
3,1,Jumbo Chicken Tender (3),21,118.76,June,5.66
3,1,Vegetable Tossed Rice Noodle,8,113.36,June,14.17
3,1,Crispy French Fries,36,140.51,June,3.9
3,1,Mai's Wing Wheel,8,99.79,June,12.47
3,1,Tangy Honey Mustard Fried Chicken (8),12,111.7,June,9.31
3,1,Sweet Sesame Ball (6) w. red bean,20,94.8,June,4.74
3,1,Milk Tea(20oz),19,95.35,June,5.02
3,1,Thai Milk Tea w. Boba (24oz)-1,19,88.18,June,4.64
4,1,Starry - Sprite,28,81.51,June,2.91
4,1,Chili Pepper Fried Chicken?8?,7,69.0,June,9.86
4,1,Wasabi Spiced Fried Chicken (8),7,68.93,June,9.85
4,1,Vegetable Tossed Ramen,7,99.05,June,14.15
4,1,Braised Chicken Thigh,21,66.77,June,3.18
4,1,Thai Milk Tea w. Boba (24oz),15,65.55,June,4.37
4,1,Lemonade,23,64.11,June,2.79
4,1,Mai BF Chicken Cutlet Combo,5,70.0,June,14.0
4,1,Chili Pepper Fried Chicken (8),4,45.96,June,11.49
4,1,Cream Cheese Wonton?6?,7,38.93,June,5.56
4,1,Brown Sugar Milk Tea NO BOBA (24oz),9,35.56,June,3.95
4,1,Rice Noodle,25,37.73,June,1.51
4,1,Wasabi Spiced Fried Chicken(8),3,33.97,June,11.32
4,1,Bottled Soda,17,32.61,June,1.92
4,1,White Rice - DINE IN,35,34.5,June,0.99
4,1,Mango Milk Tea (24oz),7,32.87,June,4.7
4,1,White Rice,7,26.6,June,3.8
4,1,Plain Fried Rice,8,29.99,June,3.75
4,1,Hot Tea,12,29.36,June,2.45
4,1,Orange Crush,7,22.13,June,3.16
4,1,Mango Milk Tea,4,19.62,June,4.9
4,1,House Tossed Rice Noodle,1,15.99,June,15.99
5,1,House Tossed Ramen,2,31.98,June,15.99
5,1,Thai Milk Tea NO BOBA (24oz),5,19.71,June,3.94
5,1,Bottled Water,7,15.1,June,2.16
5,1,Thai Milk Tea,4,20.4,June,5.1
5,1,Crispy French Fries(LG),3,14.37,June,4.79
5,1,Pepsi Zero,4,14.36,June,3.59
5,1,Braised Chicken,4,11.88,June,2.97
5,1,Pork Bun (1),5,10.01,June,2.0
5,1,Tangy Honey Mustard Fried Chicken(8),3,33.97,June,11.32
5,1,Ramen,6,8.55,June,1.42
5,1,Braised Egg,4,8.36,June,2.09
5,1,Chunked Beef,2,7.87,June,3.94
5,1,Strawberry Milk Tea  (24oz),3,11.33,June,3.78
5,1,Ramune - Original,2,5.98,June,2.99
5,1,Braised Pork,2,5.87,June,2.94
5,1,Mais Special Sauce,6,5.8,June,0.97
5,1,Shrimp (8),2,5.25,June,2.62
5,1,Open Food,1,5.0,June,5.0
5,1,Sweet Tea,1,3.59,June,3.59
5,1,Ramune - Melon,1,3.59,June,3.59
5,1,??? Orange Soda,1,3.59,June,3.59
5,1,Ramune - Strawberry,1,2.99,June,2.99
6,1,Mais special Sauce,2,2.2,June,1.1
6,1,Braised Egg ?2?,1,1.94,June,1.94
6,1,White Rice-To Go,1,1.75,June,1.75
6,1,Add Boba,1,0.75,June,0.75
6,1,Water,1156,0.0,June,0.0
6,1,Thai Milk Tea (24oz),1,5.7,June,5.7
6,1,Golden kiwi,9,32.49,June,3.61
1,1,Beef Tossed Ramen,321,4564.29,July,14.22
1,1,Beef Ramen,273,3986.72,July,14.6
1,1,Lunch Special,213,2994.75,July,14.06
1,1,Chicken Rice Noodle Soup,173,2486.42,July,14.37
1,1,Chicken Ramen,127,1888.36,July,14.87
1,1,Beef Tossed Rice Noodle,112,1798.91,July,16.06
1,1,Pork Tossed Ramen,141,1907.81,July,13.53
1,1,Chicken Tossed Ramen,110,1541.79,July,14.02
1,1,House Ramen,84,1428.07,July,17.0
1,1,Mai Special Fried Chicken(8),152,1531.62,July,10.08
1,1,Pork Ramen,95,1321.41,July,13.91
1,1,Chicken Tossed Rice Noodles,80,1168.76,July,14.61
1,1,Beef Rice Noodle Soup,66,1036.74,July,15.71
1,1,BF chicken cutlet combo,77,943.49,July,12.25
1,1,Sichuan Chili Wontons,82,910.64,July,11.11
1,1,Fried Pork Dumplings(10),85,763.31,July,8.98
2,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",55,696.19,July,12.66
2,1,Cream Cheese Rangoon(6),110,660.64,July,6.01
2,1,Pork Tossed Rice Noodle,48,633.9,July,13.21
2,1,Mai's Golden Flake Fried Chicken(8),67,680.49,July,10.16
2,1,Steam Pork Dumplings(10),71,633.5,July,8.92
2,1,Mai OG Fried Chicken Wings(4),116,587.7,July,5.07
2,1,Crispy Spring Roll(3),137,549.0,July,4.01
2,1,Vegetable Ramen,39,528.97,July,13.56
2,1,Chicken Fried Rice,44,571.13,July,12.98
2,1,Golden Coconut Crunch Chicken(8),52,524.09,July,10.08
2,1,Crispy Pork Egg Roll(3),119,477.61,July,4.01
2,1,Pork Rice Noodle Soup,33,444.59,July,13.47
2,1,Pork Bun (3),74,437.03,July,5.91
2,1,House Fried Rice,29,419.2,July,14.46
2,1,Brown Sugar Milk Tea w. Boba (24oz),101,424.51,July,4.2
2,1,Tempura Shrimp(3),76,376.69,July,4.96
2,1,Dr. Pepper,111,327.63,July,2.95
2,1,House Rice Noodle Soup,21,339.32,July,16.16
2,1,Citrus Honey Fried Chicken  (8),28,275.98,July,9.86
2,1,Shrimp Fried Rice,19,257.36,July,13.55
2,1,Vegetable Rice Noodle Soup,22,314.18,July,14.28
2,1,Beef Fried Rice,18,247.79,July,13.77
3,1,Mai BF Chicken Cutlet Combo,16,225.0,July,14.06
3,1,Sweet Ice Tea,83,238.63,July,2.88
3,1,Steam Pork Bun ?3?,37,251.63,July,6.8
3,1,Diet Pepsi,67,198.32,July,2.96
3,1,Specialty Drink,78,224.43,July,2.88
3,1,Unsweet Ice Tea,78,218.33,July,2.8
3,1,Thai Milk Tea w. Boba (24oz),50,200.73,July,4.01
3,1,Pepsi,73,208.47,July,2.86
3,1,Onion Glory Fried Chicken(8),19,180.3,July,9.49
3,1,Pork Fried Rice,13,165.57,July,12.74
3,1,Spicy Cucumber Salad,29,152.92,July,5.27
3,1,Vegetable Tossed Rice Noodle,11,161.14,July,14.65
3,1,Milk Tea(24oz),28,152.95,July,5.46
3,1,Golden kiwi (16oz),42,161.82,July,3.85
3,1,Strawberry Sunrise?16oz),42,152.64,July,3.63
3,1,Strawberry Sunrise Tea,33,122.66,July,3.72
3,1,Mai Buffalo Chicken Wings(8),14,140.33,July,10.02
3,1,Jumbo Chicken Tenders Combo (3),10,98.46,July,9.85
3,1,Starry - Sprite,35,100.88,July,2.88
3,1,Thai Milk Tea (24oz),17,91.2,July,5.36
3,1,Vegetable Fried Rice,7,87.21,July,12.46
3,1,BF chicken cutlet,13,85.12,July,6.55
4,1,Jumbo Chicken Tender (3),17,84.58,July,4.98
4,1,Strawberry Sunrise?24oz),20,85.02,July,4.25
4,1,Brown Sugar Rice Cake (5),14,75.69,July,5.41
4,1,Crispy French Fries,22,85.08,July,3.87
4,1,Lemonade,27,76.64,July,2.84
4,1,Chili Pepper Fried Chicken?8?,7,69.43,July,9.92
4,1,Tangy Honey Mustard Fried Chicken (8),8,77.46,July,9.68
4,1,Vegetable Tossed Ramen,5,67.24,July,13.45
4,1,Sweet Sesame Ball (6) w. red bean,15,71.72,July,4.78
4,1,Golden kiwi (24oz),17,76.02,July,4.47
4,1,Wasabi Spiced Fried Chicken(8),5,59.95,July,11.99
4,1,Wasabi Spiced Fried Chicken (8),6,59.94,July,9.99
4,1,Mango Milk Tea (24oz),13,59.73,July,4.59
4,1,Brown Sugar Milk Tea NO BOBA (24oz),15,56.89,July,3.79
4,1,Thai Milk Tea NO BOBA (24oz),17,67.67,July,3.98
4,1,Strawberry Milk Tea  (24oz),15,67.07,July,4.47
4,1,House Tossed Ramen,4,65.88,July,16.47
4,1,Orange Crush,15,45.72,July,3.05
4,1,Hot Tea,18,52.81,July,2.93
4,1,Golden kiwi,12,42.72,July,3.56
4,1,Tangy Honey Mustard Fried Chicken(8),3,35.97,July,11.99
4,1,Plain Fried Rice,10,38.87,July,3.89
5,1,Pepsi zero,11,32.51,July,2.96
5,1,Chunked Beef,7,27.87,July,3.98
5,1,Crispy French Fries(LG),6,26.34,July,4.39
5,1,Bottled Soda,17,30.15,July,1.77
5,1,Rice Noodle,12,18.35,July,1.53
5,1,Pork Bun (1),9,19.91,July,2.21
5,1,Ramen,13,19.33,July,1.49
5,1,Braised Egg ?2 half?,9,17.66,July,1.96
5,1,House Tossed Rice Noodle,1,15.68,July,15.68
5,1,White Rice-To Go,4,14.0,July,3.5
5,1,White Rice - DINE IN,16,15.8,July,0.99
5,1,Chili Pepper Fried Chicken (8),1,11.99,July,11.99
5,1,Shrimp (8),5,14.88,July,2.98
5,1,Bottled Water,7,13.7,July,1.96
5,1,Chicken Tender combo w fries and drink,1,10.5,July,10.5
5,1,Braised Pork,3,8.62,July,2.87
5,1,Milkis,2,7.18,July,3.59
5,1,Unsweet Tea,2,7.18,July,3.59
5,1,White Rice,3,11.2,July,3.73
5,1,Gift Card,1,5.99,July,5.99
5,1,Open Food,3,5.75,July,1.92
5,1,Ramune - Melon,1,3.59,July,3.59
6,1,Starry,1,3.59,July,3.59
6,1,Ramune - Strawberry,1,3.59,July,3.59
6,1,Coconut Milk,1,3.59,July,3.59
6,1,Ramune - Grape,1,3.59,July,3.59
6,1,Braised Chicken,2,6.58,July,3.29
6,1,Mais special Sauce,2,2.4,July,1.2
6,1,Braised Egg,2,4.78,July,2.39
6,1,Braised Egg ?2?,1,1.89,July,1.89
6,1,Mais Special Sauce,2,1.98,July,0.99
6,1,Chunked Pork - 5 days exp,2,0.0,July,0.0
6,1,Water,1149,0.0,July,0.0
6,1,Chinese Bockchoy- 5 days exp,4,0.0,July,0.0
6,1,Braised Chicken - 5 days exp,1,0.0,July,0.0
6,1,Sliced Fruit  - 5 day expiration,26,0.0,July,0.0
6,1,Brew Tea - 5 days exp,7,0.0,July,0.0
6,1,Ramune - Orange,1,3.59,July,3.59
1,1,Beef Ramen,328,5032.52,August,15.34
1,1,Lunch Special,308,4160.47,August,13.51
1,1,Beef Tossed Ramen,214,3166.6,August,14.8
1,1,Mai's BF Chicken Cutlet Combo,201,3047.09,August,15.16
1,1,Chicken Ramen,181,2613.36,August,14.44
1,1,Pork Ramen,173,2413.66,August,13.95
1,1,Beef Tossed Rice Noodle,146,2343.52,August,16.05
1,1,Sichuan Chili Wontons,181,2027.16,August,11.2
1,1,Chicken Rice Noodle Soup,132,1922.45,August,14.56
1,1,Beef Rice Noodle Soup,123,1889.06,August,15.36
1,1,House Ramen,112,1830.92,August,16.35
1,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",129,1761.18,August,13.65
1,1,Chicken Tossed Rice Noodles,115,1648.14,August,14.33
1,1,Mai Special Fried Chicken(8),157,1538.48,August,9.8
1,1,Pork Tossed Ramen,116,1553.8,August,13.39
1,1,Chicken Fried Rice,130,1568.64,August,12.07
2,1,Pork Tossed Rice Noodle,100,1355.56,August,13.56
2,1,Chicken Tossed Ramen,101,1439.54,August,14.25
2,1,Steamed Pork Buns,233,1190.88,August,5.11
2,1,Shrimp Fried Rice,87,1113.51,August,12.8
2,1,Beef Fried Rice,75,992.82,August,13.24
2,1,Fried Pork Dumplings(10),108,970.51,August,8.99
2,1,House Rice Noodle Soup,61,997.21,August,16.35
2,1,House Fried Rice,72,1004.67,August,13.95
2,1,Pork Rice Noodle Soup,63,889.57,August,14.12
2,1,Steam Pork Dumplings(10),106,948.27,August,8.95
2,1,Vegetable Ramen,50,684.06,August,13.68
2,1,Cream Cheese Rangoon(6),117,716.65,August,6.13
2,1,Brown Sugar Milk Tea w. boba,149,601.79,August,4.04
2,1,House Tossed Rice Noodle,35,560.46,August,16.01
2,1,Citrus Honey Fried Chicken  (8),53,536.24,August,10.12
2,1,Tempura Shrimp(3),102,487.66,August,4.78
2,1,Mai's Golden Flake Fried Chicken(8),50,533.85,August,10.68
2,1,Crispy Spring Roll(3),132,523.04,August,3.96
2,1,Chili Pepper Fried Chicken?8?,51,509.24,August,9.99
2,1,Thai Milk Tea w. boba,98,433.74,August,4.43
2,1,House Tossed Ramen,27,443.31,August,16.42
2,1,Spicy Cucumber Salad,69,378.5,August,5.49
3,1,Mai BF Chicken Cutlet Combo,20,347.38,August,17.37
3,1,Vegetable Rice Noodle Soup,25,355.64,August,14.23
3,1,Vegetable Fried Rice,31,361.06,August,11.65
3,1,Pork Fried Rice,27,344.44,August,12.76
3,1,Jumbo Chicken Tenders Combo (3),39,378.75,August,9.71
3,1,Golden Coconut Crunch Chicken(8),33,339.86,August,10.3
3,1,Wonton Soup,30,328.39,August,10.95
3,1,Crispy Pork Egg Roll(3),75,295.23,August,3.94
3,1,Vegetable Tossed Rice Noodle,24,324.97,August,13.54
3,1,Vegetable Tossed Ramen,22,305.12,August,13.87
3,1,Mai OG Fried Chicken Wings(4),51,274.32,August,5.38
3,1,Brown Sugar Rice Cake (5),54,289.82,August,5.37
3,1,Dr. Pepper,94,279.4,August,2.97
3,1,Pepsi zero,91,260.31,August,2.86
3,1,Pepsi,87,253.94,August,2.92
3,1,Tangy Honey Mustard Fried Chicken (8),28,259.41,August,9.26
3,1,Sweet Ice Tea,87,247.16,August,2.84
3,1,Sweet Sesame Ball (6) w. red bean,48,223.93,August,4.67
3,1,Strawberry Sunrise,61,249.01,August,4.08
3,1,Mai's BF Chicken Cutlet,29,218.02,August,7.52
3,1,Onion Glory Fried Chicken(8),23,237.88,August,10.34
3,1,Golden Kiwi,49,203.94,August,4.16
4,1,Unsweet Ice Tea,69,201.11,August,2.91
4,1,Specialty Drink,69,203.14,August,2.94
4,1,Mai Buffalo Chicken Wings(8),22,214.18,August,9.74
4,1,Crispy French Fries(LG),43,168.35,August,3.92
4,1,Lemonade,59,175.02,August,2.97
4,1,Mango Milk Tea,40,190.2,August,4.76
4,1,Strawberry Milk Tea,42,186.52,August,4.44
4,1,Steam Pork Bun ?3?,16,113.94,August,7.12
4,1,Hot Tea,35,103.03,August,2.94
4,1,Brown Sugar Milk Tea,22,99.33,August,4.51
4,1,Strawberry Jas-Lemonade,23,94.87,August,4.12
4,1,BF chicken cutlet combo,7,92.5,August,13.21
4,1,Mango Jas-Lemonade,17,72.87,August,4.29
4,1,Plain Fried Rice,18,80.25,August,4.46
4,1,White Rice - DINE IN,48,73.59,August,1.53
4,1,Starry - Sprite,23,67.46,August,2.93
4,1,Matcha Milk Tea w. boba,16,72.67,August,4.54
4,1,Peach Jas-Lemonade,13,58.69,August,4.51
4,1,Jumbo Chicken Tenders(3),10,61.24,August,6.12
4,1,Original Jas-Lemonade,13,58.29,August,4.48
4,1,Gift Card,5,45.0,August,9.0
4,1,Bottled Soda,15,42.74,August,2.85
5,1,Ramen,17,41.2,August,2.42
5,1,Lychee Jas-Lemonade,10,37.81,August,3.78
5,1,Pork Bun (3),6,35.94,August,5.99
5,1,Orange Crush,13,38.73,August,2.98
5,1,Chunked Beef,10,39.28,August,3.93
5,1,Rice Noodle,15,36.91,August,2.46
5,1,Braised Pork,9,29.82,August,3.31
5,1,Braised Egg ?2 half?,15,26.3,August,1.75
5,1,Thai Milk Tea,5,24.37,August,4.87
5,1,White Rice,9,26.92,August,2.99
5,1,Blueberry Jas-Lemonade,6,20.52,August,3.42
5,1,Ramune - Strawberry,5,18.23,August,3.65
5,1,BF chicken cutlet,2,15.0,August,7.5
5,1,Braised Chicken,5,14.2,August,2.84
5,1,Chili Pepper Fried Chicken (8),1,11.99,August,11.99
5,1,Tangy Honey Mustard Fried Chicken(8),1,11.99,August,11.99
5,1,Bottled Water,7,12.64,August,1.81
5,1,Wasabi Spiced Fried Chicken (8),1,9.99,August,9.99
5,1,Shrimp (8),4,12.84,August,3.21
5,1,White Rice-To Go,3,9.5,August,3.17
5,1,Crispy French Fries,2,7.98,August,3.99
5,1,Pepsi Zero,2,7.32,August,3.66
6,1,Ramune - Melon,2,6.58,August,3.29
6,1,Sweet Tea,2,5.98,August,2.99
6,1,Jumbo Chicken Tender (3),1,5.5,August,5.5
6,1,Strawberry Milk Tea  (24oz),1,5.5,August,5.5
6,1,Tropical Jas-Lemonade,2,3.8,August,1.9
6,1,Coconut Milk,1,3.66,August,3.66
6,1,Ramune - Original,1,3.59,August,3.59
6,1,Brown Sugar Milk Tea w. Boba (24oz),1,2.37,August,2.37
6,1,Pork Bun (1),1,2.25,August,2.25
6,1,Open Food,1,1.5,August,1.5
6,1,Popping boba -,1,1.0,August,1.0
6,1,Mais special Sauce,1,1.0,August,1.0
6,1,Popping boba - -1,1,0.0,August,0.0
6,1,Sliced Fruit  - 5 day expiration,17,0.0,August,0.0
6,1,Brew Tea - 5 days exp,5,0.0,August,0.0
6,1,Braised Chicken - 5 days exp,4,0.0,August,0.0
6,1,Chunked Pork - 5 days exp,2,0.0,August,0.0
6,1,Chunked Beef - 5 days exp,8,0.0,August,0.0
6,1,Water,2140,0.0,August,0.0
6,1,Braised Egg,2,3.89,August,1.94
1,1,Beef Ramen,362,5626.37,September,15.54
1,1,Lunch Special,398,5606.57,September,14.09
1,1,Mai's BF Chicken Cutlet Combo,285,4312.18,September,15.13
1,1,Pork Ramen,242,3360.22,September,13.89
1,1,Chicken Ramen,205,2976.79,September,14.52
1,1,Beef Tossed Ramen,188,2867.41,September,15.25
1,1,Beef Tossed Rice Noodle,154,2519.72,September,16.36
1,1,Mai Special Fried Chicken(8),210,2225.58,September,10.6
1,1,Sichuan Chili Wontons,185,2054.87,September,11.11
1,1,House Ramen,119,1972.32,September,16.57
1,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",144,1968.55,September,13.67
1,1,Chicken Rice Noodle Soup,133,1961.81,September,14.75
1,1,Chicken Fried Rice,148,1849.24,September,12.49
1,1,Beef Rice Noodle Soup,115,1807.11,September,15.71
1,1,Pork Tossed Ramen,137,1810.77,September,13.22
1,1,Pork Tossed Rice Noodle,115,1563.27,September,13.59
2,1,Chicken Tossed Rice Noodles,104,1523.75,September,14.65
2,1,Steamed Pork Buns,321,1423.98,September,4.44
2,1,Pork Rice Noodle Soup,95,1299.33,September,13.68
2,1,Chicken Tossed Ramen,98,1399.24,September,14.28
2,1,House Rice Noodle Soup,81,1301.92,September,16.07
2,1,House Fried Rice,84,1206.15,September,14.36
2,1,Shrimp Fried Rice,84,1112.14,September,13.24
2,1,Fried Pork Dumplings(10),111,1013.36,September,9.13
2,1,Steam Pork Dumplings(10),116,1011.17,September,8.72
2,1,Cream Cheese Rangoon(6),148,938.89,September,6.34
2,1,Beef Fried Rice,63,831.05,September,13.19
2,1,Brown Sugar Milk Tea w. boba,169,734.42,September,4.35
2,1,Thai Milk Tea w. boba,160,716.2,September,4.48
2,1,Vegetable Fried Rice,32,672.43,September,21.01
2,1,Crispy Spring Roll(3),133,674.23,September,5.07
2,1,Vegetable Ramen,49,679.6,September,13.87
2,1,House Tossed Rice Noodle,39,646.75,September,16.58
2,1,Mai's Golden Flake Fried Chicken(8),56,596.99,September,10.66
